_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,32
  
  
  
  
  
  
",Nigeria,"923,768",Tot.Area__Km²_,"356,669",Tot.Area__mi²_,"910,770",LandArea__Km²_,"351,650",LandArea__mi²_,0.60%
"
  ,33
  
  
  
  
  
  
",Venezuela,"916,445",Tot.Area__Km²_,"353,841",Tot.Area__mi²_,"882,050",LandArea__Km²_,"340,561",LandArea__mi²_,0.60%
"
  ,34
  
  
  
  
  
  
",Pakistan,"881,912",Tot.Area__Km²_,"340,508",Tot.Area__mi²_,"770,880",LandArea__Km²_,"297,638",LandArea__mi²_,0.50%
"
  ,35
  
  
  
  
  
  
",Namibia,"825,615",Tot.Area__Km²_,"318,772",Tot.Area__mi²_,"823,290",LandArea__Km²_,"317,874",LandArea__mi²_,0.60%
"
  ,36
  
  
  
  
  
  
",Mozambique,"801,590",Tot.Area__Km²_,"309,496",Tot.Area__mi²_,"786,380",LandArea__Km²_,"303,623",LandArea__mi²_,0.50%
"
  ,37
  
  
  
  
  
  
",Turkey,"783,562",Tot.Area__Km²_,"302,535",Tot.Area__mi²_,"769,630",LandArea__Km²_,"297,156",LandArea__mi²_,0.50%
"
  ,38
  
  
  
  
  
  
",Chile,"756,102",Tot.Area__Km²_,"291,932",Tot.Area__mi²_,"743,532",LandArea__Km²_,"287,079",LandArea__mi²_,0.50%
"
  ,39
  
  
  
  
  
  
",Zambia,"752,612",Tot.Area__Km²_,"290,585",Tot.Area__mi²_,"743,390",LandArea__Km²_,"287,024",LandArea__mi²_,0.50%
"
  ,40
  
  
  
  
  
  
",Myanmar,"676,578",Tot.Area__Km²_,"261,228",Tot.Area__mi²_,"653,290",LandArea__Km²_,"252,237",LandArea__mi²_,0.40%
"
  ,41
  
  
  
  
  
  
",Afghanistan,"652,230",Tot.Area__Km²_,"251,827",Tot.Area__mi²_,"652,860",LandArea__Km²_,"252,071",LandArea__mi²_,0.40%
"
  ,42
  
  
  
  
  
  
",Somalia,"637,657",Tot.Area__Km²_,"246,201",Tot.Area__mi²_,"627,340",LandArea__Km²_,"242,217",LandArea__mi²_,0.40%
"
  ,43
  
  
  
  
  
  
",Central African Republic,"622,984",Tot.Area__Km²_,"240,535",Tot.Area__mi²_,"622,980",LandArea__Km²_,"240,534",LandArea__mi²_,0.40%
"
  ,44
  
  
  
  
  
  
",South Sudan,"619,745",Tot.Area__Km²_,"239,285",Tot.Area__mi²_,"610,952",LandArea__Km²_,"235,890",LandArea__mi²_,0.40%
"
  ,45
  
  
  
  
  
  
",Ukraine,"603,500",Tot.Area__Km²_,"233,013",Tot.Area__mi²_,"579,320",LandArea__Km²_,"223,677",LandArea__mi²_,0.40%
"
  ,46
  
  
  
  
  
  
",Madagascar,"587,041",Tot.Area__Km²_,"226,658",Tot.Area__mi²_,"581,795",LandArea__Km²_,"224,632",LandArea__mi²_,0.40%
"
  ,47
  
  
  
  
  
  
",Botswana,"582,000",Tot.Area__Km²_,"224,711",Tot.Area__mi²_,"566,730",LandArea__Km²_,"218,816",LandArea__mi²_,0.40%
"
  ,48
  
  
  
  
  
  
",Kenya,"580,367",Tot.Area__Km²_,"224,081",Tot.Area__mi²_,"569,140",LandArea__Km²_,"219,746",LandArea__mi²_,0.40%
"
  ,49
  
  
  
  
  
  
",France,"551,695",Tot.Area__Km²_,"213,011",Tot.Area__mi²_,"547,557",LandArea__Km²_,"211,413",LandArea__mi²_,0.40%
"
  ,50
  
  
  
  
  
  
",Yemen,"527,968",Tot.Area__Km²_,"203,850",Tot.Area__mi²_,"527,970",LandArea__Km²_,"203,850",LandArea__mi²_,0.40%
"
  ,51
  
  
  
  
  
  
",Thailand,"513,120",Tot.Area__Km²_,"198,117",Tot.Area__mi²_,"510,890",LandArea__Km²_,"197,256",LandArea__mi²_,0.30%
